name,gcode,r3_orbit,phi_sym,same_phi,cable_arr_poly,same_cable_arr_poly,outPoly,same_outpoly
3.1,O1O2O3U1U3U2,{'O1O2O3U1U3U2'},"[-2, 1, 1, 1, 2, 0]","['3.1', '7.12954', '7.13941', '7.14231', '7.22204', '7.25402', '7.25412', '7.28695', '7.29545', '7.29559', '7.34157', '7.34327', '7.36751', '7.37569', '7.41772']",48*K1**2*K2 - 64*K1**2 + 32*K1*K2*K3 - 8*K2**4 + 8*K2**2*K4 - 40*K2**2 - 16*K3**2 - 2*K4**2 + 40,['3.1'],t^{4} + 11 t^{2} + 1,"['3.1', '7.12954', '7.13941', '7.14231', '7.22204', '7.25402', '7.25412', '7.28695', '7.29545', '7.29559', '7.34157', '7.34327', '7.36751', '7.37569', '7.41772']"
4.1,O1O2O3O4U1U2U4U3,{'O1O2O3O4U1U2U4U3'},"[-3, -1, 2, 2, 1, 2, 3, 1, 2, 0]",['4.1'],-128*K1**2*K2**2 + 48*K1**2*K2 - 88*K1**2 + 64*K1*K2**3*K3 + 224*K1*K2*K3 + 16*K1*K3*K4 - 32*K2**4 - 64*K2**2*K3**2 - 8*K2**2*K4**2 + 8*K2**2*K4 - 54*K2**2 + 16*K2*K3*K5 + 8*K2*K4*K6 - 88*K3**2 - 12*K4**2 - 2*K6**2 + 90,['4.1'],t^{5} + 37 t^{3} + 11 t,['4.1']
4.2,O1O2O3O4U1U3U4U2,{'O1O2O3O4U1U3U4U2'},"[-3, 0, 1, 2, 1, 3, 2, 1, 1, 1]","['4.2', '7.33612']",-32*K1**4 + 64*K1**2*K2**3 - 208*K1**2*K2**2 + 224*K1**2*K2 - 164*K1**2 + 32*K1*K2**3*K3 + 136*K1*K2*K3 + 8*K1*K3*K4 - 32*K2**6 + 32*K2**4*K4 - 88*K2**4 - 32*K2**2*K3**2 - 8*K2**2*K4**2 + 40*K2**2*K4 - 48*K2**2 + 8*K2*K3*K5 - 36*K3**2 - 14*K4**2 + 116,['4.2'],t^{5} + 31 t^{3} + 7 t,"['4.2', '6.335', '7.33612']"
4.3,O1O2O3O4U1U4U3U2,{'O1O2O3O4U1U4U3U2'},"[-3, 1, 1, 1, 1, 2, 3, 0, 0, 0]",['4.3'],-72*K1**2 + 96*K1*K2*K3 + 48*K1*K3*K4 - 8*K2**2*K4**2 + 40*K2**2*K4 - 86*K2**2 + 8*K2*K4*K6 - 72*K3**2 - 44*K4**2 - 2*K6**2 + 90,['4.3'],t^{5} + 26 t^{3} + 6 t,['4.3']
4.4,O1O2O3O4U2U1U4U3,{'O1O2O3O4U2U1U4U3'},"[-2, -2, 2, 2, 0, 1, 2, 2, 3, 0]",['4.4'],-128*K2**4 + 128*K2**2*K4 - 32*K4**2 + 30,['4.4'],t^{5} + 34 t^{3} + 17 t,['4.4']
4.5,O1O2O3O4U3U4U1U2,{'O1O2O3O4U3U4U1U2'},"[-1, -1, 1, 1, -1, 1, 1, 1, 1, -1]","['4.5', '5.97', '6.2072']",-256*K1**4 - 448*K1**2*K2**2 + 480*K1**2*K2 - 16*K1**2 + 256*K1*K2*K3 - 176*K2**4 + 96*K2**2*K4 - 16*K3**2 - 4*K4**2 + 82,['4.5'],t^{5} + 10 t^{3} + 5 t,"['4.5', '5.97', '6.831', '6.2072', '7.44283']"
4.6,O1O2O3U1O4U3U4U2,"{'O1O2O3U1O4U3U4U2', 'O1O2O3U1U2O4U3U4'}","[-2, 0, 1, 1, 1, 1, 2, 0, 0, -1]","['4.6', '6.1770', '6.1951', '7.43054', '7.44463']",-32*K1**4 - 48*K1**2*K2**2 + 128*K1**2*K2 - 84*K1**2 + 48*K1*K2*K3 - 8*K2**4 + 8*K2**2*K4 - 56*K2**2 - 12*K3**2 - 2*K4**2 + 56,['4.6'],t^{5} + 15 t^{3} + 3 t,"['4.6', '7.43054', '7.44463']"
4.7,O1O2O3U2O4U1U4U3,{'O1O2O3U2O4U1U4U3'},"[-2, -1, 1, 2, 0, 1, 3, 0, 1, 0]","['4.7', '5.62']",-64*K1**4 - 96*K1**2*K2**2 + 256*K1**2*K2 - 184*K1**2 + 112*K1*K2*K3 + 16*K1*K3*K4 - 16*K2**4 + 16*K2**2*K4 - 120*K2**2 - 40*K3**2 - 12*K4**2 + 130,['4.7'],t^{5} + 21 t^{3} + 5 t,['4.7']
4.8,O1O2O3U1U3O4U2U4,{'O1O2O3U1U3O4U2U4'},"[-2, 0, 1, 1, 0, 2, 2, 0, 1, 0]","['4.8', '7.44863']",-96*K1**4 - 112*K1**2*K2**2 + 248*K1**2*K2 - 172*K1**2 + 184*K1*K2*K3 + 24*K1*K3*K4 - 8*K2**4 + 16*K2**2*K4 - 144*K2**2 - 76*K3**2 - 18*K4**2 + 152,['4.8'],t^{5} + 13 t^{3} + 6 t,"['4.8', '7.44863']"
4.9,O1O2U1O3U2O4U3U4,{'O1O2U1O3U2O4U3U4'},"[-1, 0, 0, 1, 0, 0, 2, -1, 0, 0]","['4.9', '5.114', '6.2020', '7.44907', '7.45593']",-96*K1**4 + 176*K1**2*K2 - 80*K1**2 - 64*K2**2 + 62,"['4.9', '6.1990']",t^{5} + 7 t^{3} + 2 t,['4.9']
4.10,O1O2U1U2O3O4U3U4,{'O1O2U1U2O3O4U3U4'},"[-1, -1, 1, 1, 0, 0, 1, 1, 0, 0]","['4.10', '5.106', '6.2037']",-128*K1**4 - 192*K1**2*K2**2 + 288*K1**2*K2 - 80*K1**2 + 128*K1*K2*K3 - 48*K2**4 + 32*K2**2*K4 - 64*K2**2 - 16*K3**2 - 4*K4**2 + 82,['4.10'],t^{5} + 6 t^{3} + 5 t,"['4.10', '5.106', '6.2037']"
4.11,O1O2U1U3O4O3U2U4,{'O1O2U1U3O4O3U2U4'},"[-1, 0, 0, 1, 0, 0, 1, 0, 1, 1]","['4.11', '6.1244', '6.2058', '7.45753']",-192*K1**4 - 224*K1**2*K2**2 + 480*K1**2*K2 - 208*K1**2 + 176*K1*K2*K3 - 48*K2**4 + 32*K2**2*K4 - 152*K2**2 - 32*K3**2 - 4*K4**2 + 170,['4.11'],t^{5} + 5 t^{3} + 2 t,"['4.11', '6.1244', '6.2058', '7.45753']"
5.1,O1O2O3O4O5U1U2U3U5U4,{'O1O2O3O4O5U1U2U3U5U4'},"[-4, -2, 0, 3, 3, 1, 2, 3, 4, 1, 2, 3, 1, 2, 0]",['5.1'],-128*K1**4 - 512*K1**2*K2**4 + 192*K1**2*K2**3 - 320*K1**2*K2**2 + 336*K1**2*K2 - 304*K1**2 + 256*K1*K2**5*K3 + 512*K1*K2**3*K3 + 416*K1*K2*K3 + 96*K1*K3*K4 - 128*K2**6 - 256*K2**4*K3**2 - 32*K2**4*K4**2 + 32*K2**4*K4 - 32*K2**4 + 64*K2**3*K3*K5 + 32*K2**3*K4*K6 - 192*K2**2*K3**2 - 32*K2**2*K4**2 + 40*K2**2*K4 - 8*K2**2*K6**2 - 116*K2**2 + 32*K2*K3*K5 + 16*K2*K4*K6 - 192*K3**2 - 66*K4**2 - 4*K6**2 + 296,['5.1'],t^{6} + 87 t^{4} + 45 t^{2},['5.1']
